angel sin cos
099 0.98769 -0.15643
100 0.98481 -0.17365
101 0.98163 -0.19081
102 0.97815 -0.20791
103 0.97437 -0.22495
104 0.97030 -0.24192
105 0.96593 -0.25882
106 0.96126 -0.27564
107 0.95630 -0.29237
108 0.95106 -0.30902
109 0.94552 -0.32557
110 0.93969 -0.34202
111 0.93358 -0.35837
112 0.92718 -0.37461
113 0.92050 -0.39073
114 0.91355 -0.40674
115 0.90631 -0.42262
116 0.89879 -0.43837
117 0.89101 -0.45399
118 0.88295 -0.46947
119 0.87462 -0.48481
120 0.86603 -0.50000
121 0.85717 -0.51504
122 0.84805 -0.52992
123 0.83867 -0.54464
124 0.82904 -0.55919
125 0.81915 -0.57358
126 0.80902 -0.58779
127 0.79864 -0.60182
128 0.78801 -0.61566
129 0.77715 -0.62932
130 0.76604 -0.64279
131 0.75471 -0.65606
132 0.74314 -0.66913
133 0.73135 -0.68200
134 0.71934 -0.69466
135 0.70711 -0.70711
136 0.69466 -0.71934
137 0.68200 -0.73135
138 0.66913 -0.74314
139 0.65606 -0.75471
140 0.64279 -0.76604
141 0.62932 -0.77715
142 0.61566 -0.78801
143 0.60182 -0.79864
144 0.58779 -0.80902
145 0.57358 -0.81915
146 0.55919 -0.82904
147 0.54464 -0.83867
148 0.52992 -0.84805
149 0.51504 -0.85717
150 0.50000 -0.86603
151 0.48481 -0.87462
152 0.46947 -0.88295
153 0.45399 -0.89101
154 0.43837 -0.89879
155 0.42262 -0.90631
156 0.40674 -0.91355
157 0.39073 -0.92050
158 0.37461 -0.92718
159 0.35837 -0.93358
160 0.34202 -0.93969
161 0.32557 -0.94552
162 0.30902 -0.95106
163 0.29237 -0.95630
164 0.27564 -0.96126
165 0.25882 -0.96593
166 0.24192 -0.97030
167 0.22495 -0.97437
168 0.20791 -0.97815
169 0.19081 -0.98163
170 0.17365 -0.98481
171 0.15643 -0.98769
172 0.13917 -0.99027
173 0.12187 -0.99255
174 0.10453 -0.99452
175 0.08716 -0.99619
176 0.06976 -0.99756
177 0.05234 -0.99863
178 0.03490 -0.99939
179 0.01745 -0.99985
180 0.00000 -1.00000
181 -0.01745 -0.99985
182 -0.03490 -0.99939
183 -0.05234 -0.99863
184 -0.06976 -0.99756
185 -0.08716 -0.99619
186 -0.10453 -0.99452
187 -0.12187 -0.99255
188 -0.13917 -0.99027
189 -0.15643 -0.98769
190 -0.17365 -0.98481
191 -0.19081 -0.98163
192 -0.20791 -0.97815
193 -0.22495 -0.97437
194 -0.24192 -0.97030
195 -0.25882 -0.96593
196 -0.27564 -0.96126
197 -0.29237 -0.95630
198 -0.30902 -0.95106
199 -0.32557 -0.94552
200 -0.34202 -0.93969
201 -0.35837 -0.93358
202 -0.37461 -0.92718
203 -0.39073 -0.92050
204 -0.40674 -0.91355
205 -0.42262 -0.90631
206 -0.43837 -0.89879
207 -0.45399 -0.89101
208 -0.46947 -0.88295
209 -0.48481 -0.87462
210 -0.50000 -0.86603
211 -0.51504 -0.85717
212 -0.52992 -0.84805
213 -0.54464 -0.83867
214 -0.55919 -0.82904
215 -0.57358 -0.81915
216 -0.58779 -0.80902
217 -0.60182 -0.79864
218 -0.61566 -0.78801
219 -0.62932 -0.77715
220 -0.64279 -0.76604
221 -0.65606 -0.75471
222 -0.66913 -0.74314
223 -0.68200 -0.73135
224 -0.69466 -0.71934
225 -0.70711 -0.70711
226 -0.71934 -0.69466
227 -0.73135 -0.68200
228 -0.74314 -0.66913
229 -0.75471 -0.65606
230 -0.76604 -0.64279
231 -0.77715 -0.62932
232 -0.78801 -0.61566
233 -0.79864 -0.60182
234 -0.80902 -0.58779
235 -0.81915 -0.57358
236 -0.82904 -0.55919
237 -0.83867 -0.54464
238 -0.84805 -0.52992
239 -0.85717 -0.51504
240 -0.86603 -0.50000
241 -0.87462 -0.48481
242 -0.88295 -0.46947
243 -0.89101 -0.45399
244 -0.89879 -0.43837
245 -0.90631 -0.42262
246 -0.91355 -0.40674
247 -0.92050 -0.39073
248 -0.92718 -0.37461
249 -0.93358 -0.35837
250 -0.93969 -0.34202
251 -0.94552 -0.32557
252 -0.95106 -0.30902
253 -0.95630 -0.29237
254 -0.96126 -0.27564
255 -0.96593 -0.25882
256 -0.97030 -0.24192
257 -0.97437 -0.22495
258 -0.97815 -0.20791
259 -0.98163 -0.19081
260 -0.98481 -0.17365
261 -0.98769 -0.15643
262 -0.99027 -0.13917
263 -0.99255 -0.12187
264 -0.99452 -0.10453
265 -0.99619 -0.08716
266 -0.99756 -0.06976
267 -0.99863 -0.05234
268 -0.99939 -0.03490
269 -0.99985 -0.01745
270 -1.00000 -0.00000
271 -0.99985 0.01745
272 -0.99939 0.03490
273 -0.99863 0.05234
274 -0.99756 0.06976
275 -0.99619 0.08716
276 -0.99452 0.10453
277 -0.99255 0.12187
278 -0.99027 0.13917
279 -0.98769 0.15643
280 -0.98481 0.17365
281 -0.98163 0.19081
282 -0.97815 0.20791
283 -0.97437 0.22495
284 -0.97030 0.24192
285 -0.96593 0.25882
286 -0.96126 0.27564
287 -0.95630 0.29237
288 -0.95106 0.30902
289 -0.94552 0.32557
290 -0.93969 0.34202
291 -0.93358 0.35837
292 -0.92718 0.37461
293 -0.92050 0.39073
294 -0.91355 0.40674
295 -0.90631 0.42262
296 -0.89879 0.43837
297 -0.89101 0.45399
298 -0.88295 0.46947
299 -0.87462 0.48481
300 -0.86603 0.50000
301 -0.85717 0.51504
302 -0.84805 0.52992
303 -0.83867 0.54464
304 -0.82904 0.55919
305 -0.81915 0.57358
306 -0.80902 0.58779
307 -0.79864 0.60182
308 -0.78801 0.61566
309 -0.77715 0.62932
310 -0.76604 0.64279
311 -0.75471 0.65606
312 -0.74314 0.66913
313 -0.73135 0.68200
314 -0.71934 0.69466
315 -0.70711 0.70711
316 -0.69466 0.71934
317 -0.68200 0.73135
318 -0.66913 0.74314
319 -0.65606 0.75471
320 -0.64279 0.76604
321 -0.62932 0.77715
322 -0.61566 0.78801
323 -0.60182 0.79864
324 -0.58779 0.80902
325 -0.57358 0.81915
326 -0.55919 0.82904
327 -0.54464 0.83867
328 -0.52992 0.84805
329 -0.51504 0.85717
330 -0.50000 0.86603
331 -0.48481 0.87462
332 -0.46947 0.88295
333 -0.45399 0.89101
334 -0.43837 0.89879
335 -0.42262 0.90631
336 -0.40674 0.91355
337 -0.39073 0.92050
338 -0.37461 0.92718
339 -0.35837 0.93358
340 -0.34202 0.93969
341 -0.32557 0.94552
342 -0.30902 0.95106
343 -0.29237 0.95630
344 -0.27564 0.96126
345 -0.25882 0.96593
346 -0.24192 0.97030
347 -0.22495 0.97437
348 -0.20791 0.97815
349 -0.19081 0.98163
350 -0.17365 0.98481
351 -0.15643 0.98769
352 -0.13917 0.99027
353 -0.12187 0.99255
354 -0.10453 0.99452
355 -0.08716 0.99619
356 -0.06976 0.99756
357 -0.05234 0.99863
358 -0.03490 0.99939
359 -0.01745 0.99985
